영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점
첩혈강호,(주)액티버스엔터테인먼트,2022,2,5.0,100.0,액션,15세이상관람가,9.0,5.0
카니발 클럽,TCO(주)더콘텐츠온,2022,2,5.0,100.0,공포(호러),청소년관람불가,5.26,4.5
칼의 전쟁,초코필름,2022,2,5.0,100.0,액션,15세이상관람가,8.23,6.0
바이올렛 에버가든 오케스트라 콘서트 2021,(주)라이크콘텐츠,2022,1,22.0,88.0,공연,전체관람가,6.5,
끝없음에 관하여,찬란,2021,12,38.0,84.0,기타,12세이상관람가,7.22,
비욘드라이브 더 무비 : 엔시티 레조넌스,씨제이 씨지브이(CJ CGV)(주),2022,1,34.0,84.0,공연,전체관람가,6.75,
램,오드,2021,12,123.0,83.0,공포(호러),15세이상관람가,0.0,
크리미널 카운트다운,(유)조이앤시네마,2022,2,10.0,78.0,스릴러,청소년관람불가,5.46,
해피 아워,(주)트리플픽쳐스,2021,12,15.0,78.0,드라마,15세이상관람가,0.0,
사울 레이터: 인 노 그레이트 허리,(주)글린트,2021,12,14.0,64.0,다큐멘터리,전체관람가,6.38,6.0
전장의 피아니스트,찬란,2022,1,29.0,50.0,드라마,12세이상관람가,0.0,
삼국지 관운장: 청룡언월도,(주)제이앤씨미디어그룹,2022,2,6.0,43.0,액션,12세이상관람가,0.0,
블루버스데이,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2022,1,43.0,38.0,멜로/로맨스,12세이상관람가,7.8,8.0
벌지 탱크 대전투,(유)조이앤시네마,2022,2,6.0,37.0,액션,15세이상관람가,6.15,3.0
사막을 건너 호수를 지나,영화배급협동조합 씨네소파,2021,12,12.0,37.0,다큐멘터리,전체관람가,2.5,
당신얼굴 앞에서,"(주)영화제작전원사 ,(주)콘텐츠판다",2021,10,69.0,33.0,드라마,15세이상관람가,0.0,
티탄,"(주)영화특별시에스엠씨,주식회사 왓챠",2021,12,92.0,28.0,드라마,청소년관람불가,6.99,10.0
고스트버스터즈 라이즈,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021,12,888.0,27.0,어드벤처,12세이상관람가,7.71,7.0
소설가 구보의 하루,필름다빈,2021,12,36.0,25.0,드라마,12세이상관람가,7.24,6.33
그린 나이트,(주)팝엔터테인먼트,2021,8,235.0,24.0,어드벤처,15세이상관람가,7.0,5.67
시카리오: 나이트 오브 이스케이프,(주)이놀미디어,2022,1,50.0,22.0,액션,15세이상관람가,2.5,
좀비 살아있다,(유)조이앤시네마,2022,1,26.0,20.0,액션,15세이상관람가,7.4,5.67
샌 안드레스 메가 대지진,(유)조이앤시네마,2022,1,48.0,18.0,액션,12세이상관람가,,5.67
아이 스틸 빌리브,(주)이놀미디어,2022,1,33.0,17.0,드라마,전체관람가,8.33,6.0
투모로우 아포칼립스,(유)조이앤시네마,2022,1,50.0,15.0,어드벤처,15세이상관람가,5.49,5.0
특수부대 코만도,(유)조이앤시네마,2022,1,5.0,15.0,액션,15세이상관람가,0.0,
행복의 속도,(주)영화사 진진,2021,11,23.0,14.0,다큐멘터리,전체관람가,7.08,6.25
나는 조선사람입니다,"㈜인디스토리,엠앤씨에프",2021,12,23.0,13.0,다큐멘터리,12세이상관람가,7.29,4.0
무녀도,(주)씨네필운,2021,11,49.0,12.0,뮤지컬,12세이상관람가,0.0,
미결처리반 Q: 침묵의 암살자,(주)콘텐츠판다,2022,1,4.0,11.0,범죄,15세이상관람가,7.33,5.0
보는 것을 사랑한다,(주)드림팩트엔터테인먼트,2021,10,8.0,11.0,다큐멘터리,전체관람가,7.14,5.67
긴 하루,하준사,2021,12,12.0,4.0,드라마,12세이상관람가,7.22,6.33
최선의 삶,(주)엣나인필름,2021,9,101.0,4.0,드라마,15세이상관람가,9.08,6.0
피드백,(주)스튜디오 보난자,2022,1,38.0,4.0,공포(호러),청소년관람불가,9.09,7.0
마이 뉴욕 다이어리,(주)영화사 진진,2021,12,180.0,3.0,드라마,12세이상관람가,8.8,5.67
카잭,(유)조이앤컨텐츠그룹,2022,2,3.0,3.0,스릴러,15세이상관람가,6.84,6.0
"사비나: 그리스도를 위한 고난, 나치 시대",커넥트픽쳐스(주),2021,11,44.0,2.0,드라마,12세이상관람가,6.12,5.67
신들의 분노,(주)스튜디오디에이치엘,2022,1,6.0,2.0,액션,15세이상관람가,7.49,6.0
글래머,(주)라온컴퍼니플러스,2022,2,1.0,1.0,미스터리,15세이상관람가,7.49,6.5
금의위: 초능척살대,초코필름,2022,1,5.0,1.0,액션,12세이상관람가,8.07,6.75
미시간 살인사건,(주)라온컴퍼니플러스,2022,2,1.0,1.0,범죄,15세이상관람가,7.69,6.8
인생게임,(주)콘텐츠윙,2021,12,2.0,1.0,드라마,12세이상관람가,6.55,4.5
극장판 주술회전 0,(주)대교 미디어콘텐츠사업본부,2022,2,836.0,,애니메이션,15세이상관람가,7.71,5.33
스펜서,"(주)영화특별시에스엠씨,그린나래미디어(주)",2022,3,730.0,,드라마,12세이상관람가,6.09,6.75
나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,(주)스마일이엔티,2022,3,459.0,,애니메이션,12세이상관람가,7.23,7.0
안테벨룸,(주)올스타엔터테인먼트,2022,2,638.0,,미스터리,15세이상관람가,7.92,5.0
블랙라이트,(주)퍼스트런,2022,3,521.0,,액션,15세이상관람가,7.81,6.5
인민을 위해 복무하라,(주)제이앤씨미디어그룹,2022,2,598.0,,멜로/로맨스,청소년관람불가,9.91,
나이트메어 앨리,월트디즈니컴퍼니코리아 유한책임회사,2022,2,461.0,,범죄,15세이상관람가,7.41,7.25
배니싱: 미제사건,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022,3,561.0,,범죄,15세이상관람가,7.07,6.67
하늘의 푸르름을 아는 사람이여,(주)넥스트엔터테인먼트월드(NEW),2022,3,121.0,,애니메이션,12세이상관람가,7.48,5.33
벨파스트,유니버설픽쳐스인터내셔널 코리아(유),2022,3,272.0,,드라마,12세이상관람가,8.16,5.0
메리 미,유니버설픽쳐스인터내셔널 코리아(유),2022,3,179.0,,멜로/로맨스,12세이상관람가,8.24,6.6
극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,와이드 릴리즈(주),2022,2,236.0,,애니메이션,전체관람가,7.08,5.33
우리가 사랑이라고 믿는 것,(주)티캐스트,2022,2,44.0,,드라마,12세이상관람가,8.13,7.6
드라이브 마이 카,(주)트리플픽쳐스,2021,12,69.0,,드라마,15세이상관람가,8.14,
킹 리차드,워너브러더스 코리아(주),2022,3,156.0,,가족,12세이상관람가,8.01,6.33
에펠,"주식회사 블루필름웍스,(주)플레이그램",2022,3,182.0,,멜로/로맨스,15세이상관람가,8.83,5.0
레벤느망,"(주)영화특별시에스엠씨,주식회사 왓챠",2022,3,64.0,,드라마,15세이상관람가,7.89,6.6
극장판 안녕 자두야: 제주도의 비밀,(주)씨제이이엔엠,2022,1,618.0,,애니메이션,전체관람가,7.95,6.67
뱅드림! 팝핀' 드림!,(주)애니플러스,2022,3,105.0,,애니메이션,전체관람가,,5.0
도어맨,(주)블루라벨픽쳐스,2022,3,130.0,,액션,15세이상관람가,8.1,5.0
고양이들의 아파트,"(주)엣나인필름,(주)메타플레이",2022,3,75.0,,다큐멘터리,전체관람가,8.45,6.4
시라노,유니버설픽쳐스인터내셔널 코리아(유),2022,2,195.0,,멜로/로맨스,12세이상관람가,7.33,6.67
만년이 지나도 변하지 않는 게 있어,"그린나래미디어(주),(주)영화사벌집",2022,2,297.0,,멜로/로맨스,12세이상관람가,7.14,6.33
리디밍 러브,(주)까멜리아이엔티,2022,3,118.0,,멜로/로맨스,15세이상관람가,4.34,4.67
355,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022,2,540.0,,액션,15세이상관람가,7.92,7.0
리코리쉬 피자,유니버설픽쳐스인터내셔널 코리아(유),2022,2,222.0,,멜로/로맨스,15세이상관람가,7.1,6.0
피그,판씨네마(주),2022,2,113.0,,드라마,12세이상관람가,8.0,6.0
소피의 세계,찬란,2022,3,84.0,,드라마,12세이상관람가,7.71,7.0
극장판 금빛 모자이크 땡큐!!,메가박스중앙(주),2022,3,60.0,,애니메이션,전체관람가,5.14,5.0
유어 러브 송,(주)다자인소프트,2022,3,59.0,,멜로/로맨스,12세이상관람가,7.5,6.0
광대: 소리꾼,트윈플러스파트너스(주),2022,2,116.0,,사극,12세이상관람가,8.46,9.5
나이트 레이더스,"하이, 스트레인저,주식회사 더쿱",2022,3,72.0,,스릴러,15세이상관람가,7.5,5.33
패러렐 마더스,(주)스튜디오디에이치엘,2022,3,88.0,,멜로/로맨스,15세이상관람가,7.11,7.75
드라이,(주)영화사 진진,2022,3,103.0,,미스터리,15세이상관람가,7.24,5.67
그 남자는 타이타닉을 보고 싶지 않았다,주식회사 슈아픽처스,2022,3,43.0,,드라마,12세이상관람가,6.38,6.5
극장판 시그널,트윈플러스파트너스(주),2022,3,90.0,,드라마,12세이상관람가,,
어거스트 버진,M&M 인터내셔널,2022,3,48.0,,드라마,15세이상관람가,7.11,5.0
B컷,TCO(주)더콘텐츠온,2022,3,82.0,,범죄,청소년관람불가,7.96,4.5
사랑 후의 두 여자,판씨네마(주),2022,3,55.0,,드라마,15세이상관람가,8.81,8.0
"틱, 틱... 붐!",씨제이 씨지브이(CJ CGV)(주),2021,11,108.0,,드라마,12세이상관람가,7.25,7.0
매미소리,(주)드림팩트엔터테인먼트,2022,2,70.0,,드라마,15세이상관람가,7.06,6.0
파워 오브 도그,씨제이 씨지브이(CJ CGV)(주),2021,11,113.0,,드라마,15세이상관람가,9.0,6.5
재춘언니,(주)시네마달,2022,3,44.0,,다큐멘터리,12세이상관람가,2.05,
태일이,(주)리틀빅픽쳐스,2021,12,458.0,,애니메이션,전체관람가,9.16,5.0
돈 룩 업,씨제이 씨지브이(CJ CGV)(주),2021,12,656.0,,코미디,15세이상관람가,7.55,5.0
웨스트 사이드 스토리,월트디즈니컴퍼니코리아 유한책임회사,2022,1,754.0,,드라마,12세이상관람가,6.84,5.56
코다,판씨네마(주),2021,8,308.0,,드라마,12세이상관람가,2.86,
미싱타는 여자들,(주)영화사 진진,2022,1,39.0,,다큐멘터리,전체관람가,2.0,
나의 촛불,트윈플러스파트너스(주),2022,2,294.0,938.0,다큐멘터리,전체관람가,6.5,7.75
어나더 라운드,(주)엣나인필름,2022,1,175.0,895.0,코미디,15세이상관람가,8.43,5.0
서바이벌리스트,(주)라이크콘텐츠,2022,2,15.0,851.0,액션,15세이상관람가,9.63,
레드 로켓,유니버설픽쳐스인터내셔널 코리아(유),2022,3,4.0,814.0,드라마,청소년관람불가,4.96,3.0
아망떼,(주)블루라벨픽쳐스,2022,3,21.0,808.0,멜로/로맨스,15세이상관람가,6.76,5.0
역으로 가는 길을 알려줘,(주)영화사 진진,2022,2,25.0,755.0,드라마,전체관람가,10.0,
축복의 집,필름다빈,2022,2,17.0,609.0,가족,12세이상관람가,8.37,8.57
캐슬 폴스: 머니 게임,(주)디스테이션,2022,3,34.0,605.0,액션,15세이상관람가,6.47,5.5
애니멀 체인지,와이드 릴리즈(주),2022,2,155.0,586.0,애니메이션,전체관람가,8.6,6.0
하로동선,주식회사 블루필름웍스,2022,3,23.0,546.0,드라마,15세이상관람가,10.0,
스크림,롯데컬처웍스(주)롯데엔터테인먼트,2022,2,29.0,534.0,공포(호러),청소년관람불가,9.71,5.5
보드랍게,(주)인디플러그,2022,2,20.0,500.0,다큐멘터리,전체관람가,6.78,5.0
마지막 대전투: 전장의 영웅들,(유)조이앤시네마,2022,3,50.0,498.0,전쟁,15세이상관람가,9.22,6.33
FBI 데스트랩,(유)조이앤시네마,2022,3,50.0,484.0,스릴러,15세이상관람가,7.04,8.5
전투왕,"(주)씨네포트,주식회사 블루필름웍스",2022,2,41.0,378.0,다큐멘터리,12세이상관람가,8.23,7.5
가무악칠채,(주)케빈앤컴퍼니,2022,3,10.0,337.0,공연,전체관람가,6.42,6.4
우주에서 가장 밝은 지붕,트윈플러스파트너스(주),2022,3,2.0,300.0,판타지,전체관람가,8.86,
하우스 오브 구찌,유니버설픽쳐스인터내셔널 코리아(유),2022,1,734.0,296.0,범죄,15세이상관람가,4.96,4.0
에우리디체,(주) 인스터 글로벌,2022,3,6.0,273.0,공연,전체관람가,7.79,6.0
존경하고 사랑하는 국민여러분,"주식회사 블루필름웍스,(주)영화사메이플러스",2022,1,22.0,245.0,다큐멘터리,12세이상관람가,9.22,7.25
임신한 나무와 도깨비,(주)시네마달,2022,1,20.0,228.0,드라마,15세이상관람가,7.2,5.75
역할들,쉼표,2022,3,5.0,216.0,드라마,12세이상관람가,8.31,
세라비: 다섯 번의 기적,(주)트리플픽쳐스,2022,2,25.0,159.0,코미디,15세이상관람가,5.0,
늦봄2020,주식회사 블루필름웍스,2022,2,12.0,148.0,다큐멘터리,전체관람가,,
셰터드,주식회사 풍경소리,2022,2,50.0,140.0,스릴러,청소년관람불가,3.48,2.0
아이돌레시피,(주)드림팩트엔터테인먼트,2022,3,11.0,140.0,코미디,15세이상관람가,7.74,6.5
와일드 리벤지: 마지막 한 놈까지,주식회사 풍경소리,2022,2,50.0,140.0,액션,청소년관람불가,6.0,5.5
브릭스턴 테일,(주)드림팩트엔터테인먼트,2022,3,5.0,120.0,드라마,청소년관람불가,4.33,6.0
효자,(주)드림팩트엔터테인먼트,2022,1,16.0,117.0,코미디,15세이상관람가,6.62,3.0
테이블 매너,주식회사 씨엠닉스,2022,3,4.0,116.0,드라마,15세이상관람가,8.24,7.63
굿 보스,(주)디스테이션,2022,2,85.0,114.0,드라마,15세이상관람가,9.0,5.0
곡녀,시네마 뉴원,2022,3,7.0,110.0,드라마,12세이상관람가,4.5,
인비저블 킬러,(주)액티버스엔터테인먼트,2022,3,5.0,100.0,액션,15세이상관람가,0.0,
7인의 악인전,비케이 시네윈,2022,3,5.0,100.0,액션,15세이상관람가,0.0,
시크릿 카운터,(주)디오시네마,2022,2,25.0,94.0,기타,15세이상관람가,,
밴드스탠드,(주)위즈온센,2022,2,17.0,93.0,공연,12세이상관람가,8.33,5.5
성적유희의 극한적 경험,(유)조이앤시네마,2022,3,5.0,92.0,드라마,청소년관람불가,8.43,6.0
미인,필름에이픽쳐스,2022,2,5.0,88.0,다큐멘터리,전체관람가,6.39,5.5
온 세상이 하얗다,(주)트리플픽쳐스,2022,2,18.0,76.0,멜로/로맨스,15세이상관람가,7.44,6.0
너에게 가는 길,(주)엣나인필름,2021,11,56.0,56.0,다큐멘터리,12세이상관람가,6.69,6.0
프랑스,M&M 인터내셔널,2022,1,54.0,55.0,드라마,12세이상관람가,,
나는 조선사람입니다,"㈜인디스토리,엠앤씨에프",2021,12,23.0,50.0,다큐멘터리,12세이상관람가,8.0,
비올레타,알토미디어(주),2022,1,27.0,45.0,드라마,청소년관람불가,,6.33
도쿄 리벤저스,(주)넥스트엔터테인먼트월드(NEW),2022,1,216.0,43.0,드라마,15세이상관람가,7.85,8.0
프리! 더 파이널 스트로크 전편,(주)애니플러스,2022,1,77.0,36.0,애니메이션,전체관람가,8.4,6.33
더 컨테이젼: 바이러스의 습격,(유)조이앤시네마,2022,3,5.0,34.0,드라마,15세이상관람가,2.5,
인베이젼 2022,(유)조이앤시네마,2022,3,5.0,34.0,액션,12세이상관람가,0.0,
끝없음에 관하여,찬란,2021,12,38.0,24.0,기타,12세이상관람가,8.28,5.5
아웃브레이크 호텔,(주)씨네마블랙,2022,2,5.0,21.0,스릴러,15세이상관람가,8.26,5.0
데스 밸리,주식회사 루믹스미디어,2022,3,5.0,19.0,액션,15세이상관람가,1.0,
인어가 잠든 집,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",2022,1,90.0,11.0,드라마,12세이상관람가,2.5,
무녀도,(주)씨네필운,2021,11,49.0,10.0,뮤지컬,12세이상관람가,7.49,7.17
원 세컨드,찬란,2022,1,42.0,10.0,드라마,12세이상관람가,0.0,
코만도,(주)이놀미디어,2022,2,50.0,10.0,액션,청소년관람불가,0.0,
벌지 탱크 대전투,(유)조이앤시네마,2022,2,6.0,9.0,액션,15세이상관람가,8.27,5.0
해탄적일천,(주)에이썸엔터테인먼트,2022,1,44.0,9.0,드라마,12세이상관람가,7.41,7.0
클리포드 더 빅 레드 독,롯데컬처웍스(주)롯데엔터테인먼트,2022,1,356.0,8.0,어드벤처,전체관람가,2.8,
해피 아워,(주)트리플픽쳐스,2021,12,15.0,8.0,드라마,15세이상관람가,6.99,10.0
청춘적니,(주)다자인소프트,2022,1,112.0,7.0,멜로/로맨스,12세이상관람가,6.75,
극장판 천재 추리 탐정 셜록홈즈,(주)넥스트엔터테인먼트월드(NEW),2022,1,134.0,5.0,애니메이션,전체관람가,,5.8
당신얼굴 앞에서,"(주)영화제작전원사 ,(주)콘텐츠판다",2021,10,69.0,5.0,드라마,15세이상관람가,9.47,5.0
리프레쉬,(주)이놀미디어,2022,2,44.0,5.0,드라마,12세이상관람가,5.5,8.0
"사비나: 그리스도를 위한 고난, 나치 시대",커넥트픽쳐스(주),2021,11,44.0,4.0,드라마,12세이상관람가,5.8,5.33
걸 위드 더 카메라,(주)영화사 그램,2022,1,11.0,3.0,다큐멘터리,12세이상관람가,8.0,
대한민국 대통령,(주)라이크콘텐츠,2022,2,22.0,2.0,다큐멘터리,전체관람가,0.0,
삼국지 관운장: 청룡언월도,(주)제이앤씨미디어그룹,2022,2,6.0,2.0,액션,12세이상관람가,0.0,
더 마더,(주)스튜디오디에이치엘,2022,2,32.0,1.0,스릴러,15세이상관람가,8.23,6.0
웨이크 업,(주)라온컴퍼니플러스,2022,3,1.0,1.0,스릴러,15세이상관람가,0.0,
이스케이프 룸: 공포의 퍼즐,(주)알이디아이스엔터,2022,3,1.0,1.0,공포(호러),15세이상관람가,0.0,
죽음의 서약,(주)라온컴퍼니플러스,2022,3,1.0,1.0,공포(호러),15세이상관람가,10.0,
트로트는 인생이다,시네마 뉴원,2022,1,8.0,1.0,코미디,15세이상관람가,7.17,6.0
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","(주)바이포엠스튜디오,홀리가든",2022,11,258.0,,멜로/로맨스,12세이상관람가,7.68,7.33
신비아파트 극장판 차원도깨비와 7개의 세계,(주)씨제이이엔엠,2022,12,665.0,,애니메이션,전체관람가,8.71,6.0
탄생,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",2022,11,670.0,,드라마,12세이상관람가,8.4,7.75
극장판 뽀로로와 친구들: 바이러스를 없애줘!,(주)넥스트엔터테인먼트월드(NEW),2022,12,380.0,,애니메이션,전체관람가,3.0,
젠틀맨,플러스엠 엔터테인먼트,2022,12,751.0,,범죄,15세이상관람가,5.75,6.5
원피스 필름 레드,(주)넥스트엔터테인먼트월드(NEW),2022,11,550.0,,애니메이션,12세이상관람가,7.14,5.67
눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,메가박스중앙(주),2022,12,626.0,,애니메이션,전체관람가,6.38,6.0
